team,team_code,url
Philadelphia 76ers,PHI,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1024px-Philadelphia_76ers_logo.svg.png
Boston Celtics,BOS,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/922px-Boston_Celtics.svg.png
Oklahoma City Thunder,OKC,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1114px-Oklahoma_City_Thunder.svg.png
Golden State Warriors,GSW,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/847px-Golden_State_Warriors_logo.svg.png
Milwaukee Bucks,MIL,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/826px-Milwaukee_Bucks_logo.svg.png
Charlotte Hornets,CHA,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/1055px-Charlotte_Hornets_%282014%29.svg.png
Brooklyn Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/774px-Brooklyn_Nets_newlogo.svg.png
Detroit Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pistons_logo17.svg/1024px-Pistons_logo17.svg.png
Memphis Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/848px-Memphis_Grizzlies.svg.png
Indiana Pacers,IND,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/1024px-Indiana_Pacers.svg.png
Miami Heat,MIA,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/742px-Miami_Heat_logo.svg.png
Orlando Magic,ORL,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/1280px-Orlando_Magic_logo.svg.png
Atlanta Hawks,ATL,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1024px-Atlanta_Hawks_logo.svg.png
New York Knicks,NYK,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1261px-New_York_Knicks_logo.svg.png
Cleveland Cavaliers,CLE,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Cleveland_Cavaliers_logo.svg/504px-Cleveland_Cavaliers_logo.svg.png
Toronto Raptors,TOR,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1020px-Toronto_Raptors_logo.svg.png
New Orleans Pelicans,NOP,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/New_Orleans_Pelicans_logo.svg/1280px-New_Orleans_Pelicans_logo.svg.png
Houston Rockets,HOU,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/772px-Houston_Rockets.svg.png
Minnesota Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/1024px-Minnesota_Timberwolves_logo.svg.png
San Antonio Spurs,SAS,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/1280px-San_Antonio_Spurs.svg.png
Utah Jazz,UTA,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Utah_Jazz_logo_%282016%29.svg/1280px-Utah_Jazz_logo_%282016%29.svg.png
Sacramento Kings,SAC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/898px-SacramentoKings.svg.png
Denver Nuggets,DEN,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/1024px-Denver_Nuggets.svg.png
Los Angeles Clippers,LAC,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Los_Angeles_Clippers_%282015%29.svg/1280px-Los_Angeles_Clippers_%282015%29.svg.png
Dallas Mavericks,DAL,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/984px-Dallas_Mavericks_logo.svg.png
Phoenix Suns,PHX,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/1012px-Phoenix_Suns_logo.svg.png
Chicago Bulls,CHI,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1015px-Chicago_Bulls_logo.svg.png
Washington Wizards,WAS,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1024px-Washington_Wizards_logo.svg.png
Los Angeles Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1280px-Los_Angeles_Lakers_logo.svg.png
Portland Trail Blazers,POR,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1198px-Portland_Trail_Blazers_logo.svg.png
